,Number of Occurrences,Rejection Type 1 Probability,Event,Method
0,18,10.0,redo_A,Supervisory+RL
1,8,10.0,redo_A,Supervisory
2,25,20.0,redo_A,Supervisory+RL
3,14,20.0,redo_A,Supervisory
4,37,30.0,redo_A,Supervisory+RL
5,8,30.0,redo_A,Supervisory
6,46,40.0,redo_A,Supervisory+RL
7,18,40.0,redo_A,Supervisory
8,83,50.0,redo_A,Supervisory+RL
9,16,50.0,redo_A,Supervisory
10,102,60.0,redo_A,Supervisory+RL
11,36,60.0,redo_A,Supervisory
12,121,70.0,redo_A,Supervisory+RL
13,32,70.0,redo_A,Supervisory
14,87,80.0,redo_A,Supervisory+RL
15,34,80.0,redo_A,Supervisory
16,153,90.0,redo_A,Supervisory+RL
17,42,90.0,redo_A,Supervisory
18,151,10.0,redo_B,Supervisory+RL
19,36,10.0,redo_B,Supervisory
20,120,20.0,redo_B,Supervisory+RL
21,41,20.0,redo_B,Supervisory
22,151,30.0,redo_B,Supervisory+RL
23,50,30.0,redo_B,Supervisory
24,178,40.0,redo_B,Supervisory+RL
25,41,40.0,redo_B,Supervisory
26,193,50.0,redo_B,Supervisory+RL
27,49,50.0,redo_B,Supervisory
28,160,60.0,redo_B,Supervisory+RL
29,56,60.0,redo_B,Supervisory
30,156,70.0,redo_B,Supervisory+RL
31,40,70.0,redo_B,Supervisory
32,184,80.0,redo_B,Supervisory+RL
33,50,80.0,redo_B,Supervisory
34,178,90.0,redo_B,Supervisory+RL
35,49,90.0,redo_B,Supervisory
