,Number of Occurrences,Rework Cost,Event,Method
0,6,1000,redo_A,Supervisory+RL
1,12,1000,redo_A,Supervisory
2,22,2000,redo_A,Supervisory+RL
3,20,2000,redo_A,Supervisory
4,6,3000,redo_A,Supervisory+RL
5,11,3000,redo_A,Supervisory
6,4,4000,redo_A,Supervisory+RL
7,9,4000,redo_A,Supervisory
8,27,5000,redo_A,Supervisory+RL
9,9,5000,redo_A,Supervisory
10,5,6000,redo_A,Supervisory+RL
11,17,6000,redo_A,Supervisory
12,25,7000,redo_A,Supervisory+RL
13,11,7000,redo_A,Supervisory
14,6,8000,redo_A,Supervisory+RL
15,9,8000,redo_A,Supervisory
16,21,9000,redo_A,Supervisory+RL
17,4,9000,redo_A,Supervisory
18,38,1000,redo_B,Supervisory+RL
19,11,1000,redo_B,Supervisory
20,35,2000,redo_B,Supervisory+RL
21,10,2000,redo_B,Supervisory
22,23,3000,redo_B,Supervisory+RL
23,10,3000,redo_B,Supervisory
24,34,4000,redo_B,Supervisory+RL
25,6,4000,redo_B,Supervisory
26,36,5000,redo_B,Supervisory+RL
27,8,5000,redo_B,Supervisory
28,20,6000,redo_B,Supervisory+RL
29,9,6000,redo_B,Supervisory
30,20,7000,redo_B,Supervisory+RL
31,9,7000,redo_B,Supervisory
32,34,8000,redo_B,Supervisory+RL
33,6,8000,redo_B,Supervisory
34,25,9000,redo_B,Supervisory+RL
35,15,9000,redo_B,Supervisory
