,Number of occurrences,Machine Cost,event
0,6,1000,bad_A
1,7,1000,bad_A
2,2,1000,bad_A
3,3,1000,bad_A
4,9,1000,bad_A
5,10,1000,bad_A
6,1,1000,bad_A
7,2,1000,bad_A
8,7,1000,bad_A
9,20,1000,bad_B
10,14,1000,bad_B
11,20,1000,bad_B
12,11,1000,bad_B
13,18,1000,bad_B
14,37,1000,bad_B
15,30,1000,bad_B
16,23,1000,bad_B
17,13,1000,bad_B
18,48,1000,good_A
19,106,1000,good_A
20,63,1000,good_A
21,91,1000,good_A
22,85,1000,good_A
23,59,1000,good_A
24,27,1000,good_A
25,60,1000,good_A
26,100,1000,good_A
27,426,1000,good_B
28,373,1000,good_B
29,415,1000,good_B
30,395,1000,good_B
31,388,1000,good_B
32,394,1000,good_B
33,442,1000,good_B
34,415,1000,good_B
35,380,1000,good_B
36,21,1000,redo_A
37,30,1000,redo_A
38,19,1000,redo_A
39,30,1000,redo_A
40,21,1000,redo_A
41,10,1000,redo_A
42,7,1000,redo_A
43,15,1000,redo_A
44,32,1000,redo_A
45,29,1000,redo_B
46,26,1000,redo_B
47,27,1000,redo_B
48,36,1000,redo_B
49,29,1000,redo_B
50,8,1000,redo_B
51,27,1000,redo_B
52,18,1000,redo_B
53,15,1000,redo_B
