,no,fp,event,method
0,3,10,bad_A,int
1,5,20,bad_A,int
2,5,30,bad_A,int
3,7,40,bad_A,int
4,14,50,bad_A,int
5,16,60,bad_A,int
6,0,70,bad_A,int
7,0,80,bad_A,int
8,22,90,bad_A,int
9,15,10,bad_B,int
10,7,20,bad_B,int
11,11,30,bad_B,int
12,6,40,bad_B,int
13,7,50,bad_B,int
14,8,60,bad_B,int
15,4,70,bad_B,int
16,12,80,bad_B,int
17,11,90,bad_B,int
18,48,10,good_A,int
19,38,20,good_A,int
20,44,30,good_A,int
21,12,40,good_A,int
22,21,50,good_A,int
23,23,60,good_A,int
24,0,70,good_A,int
25,0,80,good_A,int
26,2,90,good_A,int
27,134,10,good_B,int
28,150,20,good_B,int
29,140,30,good_B,int
30,175,40,good_B,int
31,158,50,good_B,int
32,153,60,good_B,int
33,196,70,good_B,int
34,188,80,good_B,int
35,165,90,good_B,int
36,2,10,bad_A,rnd
37,5,20,bad_A,rnd
38,8,30,bad_A,rnd
39,12,40,bad_A,rnd
40,22,50,bad_A,rnd
41,24,60,bad_A,rnd
42,25,70,bad_A,rnd
43,38,80,bad_A,rnd
44,42,90,bad_A,rnd
45,3,10,bad_B,rnd
46,8,20,bad_B,rnd
47,6,30,bad_B,rnd
48,4,40,bad_B,rnd
49,5,50,bad_B,rnd
50,6,60,bad_B,rnd
51,9,70,bad_B,rnd
52,6,80,bad_B,rnd
53,9,90,bad_B,rnd
54,51,10,good_A,rnd
55,39,20,good_A,rnd
56,39,30,good_A,rnd
57,38,40,good_A,rnd
58,27,50,good_A,rnd
59,23,60,good_A,rnd
60,25,70,good_A,rnd
61,15,80,good_A,rnd
62,5,90,good_A,rnd
63,144,10,good_B,rnd
64,148,20,good_B,rnd
65,147,30,good_B,rnd
66,146,40,good_B,rnd
67,146,50,good_B,rnd
68,147,60,good_B,rnd
69,141,70,good_B,rnd
70,141,80,good_B,rnd
71,144,90,good_B,rnd
