,Number of occurrences,case,event,method
0,0,1,bad_A,int
1,1,1,bad_A,rnd
2,0,2,bad_A,int
3,2,2,bad_A,rnd
4,0,3,bad_A,int
5,8,3,bad_A,rnd
6,0,4,bad_A,int
7,8,4,bad_A,rnd
8,0,5,bad_A,int
9,24,5,bad_A,rnd
10,0,6,bad_A,int
11,22,6,bad_A,rnd
12,0,7,bad_A,int
13,38,7,bad_A,rnd
14,0,8,bad_A,int
15,38,8,bad_A,rnd
16,0,9,bad_A,int
17,38,9,bad_A,rnd
18,14,1,bad_B,int
19,8,1,bad_B,rnd
20,12,2,bad_B,int
21,9,2,bad_B,rnd
22,16,3,bad_B,int
23,10,3,bad_B,rnd
24,11,4,bad_B,int
25,11,4,bad_B,rnd
26,6,5,bad_B,int
27,3,5,bad_B,rnd
28,8,6,bad_B,int
29,8,6,bad_B,rnd
30,7,7,bad_B,int
31,10,7,bad_B,rnd
32,6,8,bad_B,int
33,9,8,bad_B,rnd
34,15,9,bad_B,int
35,6,9,bad_B,rnd
36,0,1,good_A,int
37,47,1,good_A,rnd
38,0,2,good_A,int
39,48,2,good_A,rnd
40,0,3,good_A,int
41,43,3,good_A,rnd
42,0,4,good_A,int
43,35,4,good_A,rnd
44,0,5,good_A,int
45,34,5,good_A,rnd
46,0,6,good_A,int
47,32,6,good_A,rnd
48,0,7,good_A,int
49,17,7,good_A,rnd
50,0,8,good_A,int
51,11,8,good_A,rnd
52,0,9,good_A,int
53,8,9,good_A,rnd
54,186,1,good_B,int
55,144,1,good_B,rnd
56,188,2,good_B,int
57,141,2,good_B,rnd
58,184,3,good_B,int
59,139,3,good_B,rnd
60,189,4,good_B,int
61,146,4,good_B,rnd
62,194,5,good_B,int
63,139,5,good_B,rnd
64,192,6,good_B,int
65,138,6,good_B,rnd
66,193,7,good_B,int
67,135,7,good_B,rnd
68,194,8,good_B,int
69,142,8,good_B,rnd
70,185,9,good_B,int
71,148,9,good_B,rnd
