,Number of occurrences,Rework Cost,event
0,11,1000,bad_A
1,2,2000,bad_A
2,2,3000,bad_A
3,1,4000,bad_A
4,1,5000,bad_A
5,11,6000,bad_A
6,6,7000,bad_A
7,5,8000,bad_A
8,7,9000,bad_A
9,20,1000,bad_B
10,18,2000,bad_B
11,15,3000,bad_B
12,24,4000,bad_B
13,24,5000,bad_B
14,17,6000,bad_B
15,20,7000,bad_B
16,15,8000,bad_B
17,26,9000,bad_B
18,85,1000,good_A
19,46,2000,good_A
20,29,3000,good_A
21,36,4000,good_A
22,29,5000,good_A
23,76,6000,good_A
24,47,7000,good_A
25,33,8000,good_A
26,72,9000,good_A
27,384,1000,good_B
28,434,2000,good_B
29,454,3000,good_B
30,439,4000,good_B
31,446,5000,good_B
32,396,6000,good_B
33,427,7000,good_B
34,447,8000,good_B
35,395,9000,good_B
36,41,1000,redo_A
37,24,2000,redo_A
38,11,3000,redo_A
39,11,4000,redo_A
40,7,5000,redo_A
41,34,6000,redo_A
42,20,7000,redo_A
43,9,8000,redo_A
44,18,9000,redo_A
45,27,1000,redo_B
46,30,2000,redo_B
47,34,3000,redo_B
48,29,4000,redo_B
49,26,5000,redo_B
50,27,6000,redo_B
51,26,7000,redo_B
52,30,8000,redo_B
53,9,9000,redo_B
